phase,step,elapsed_seconds,combined_training_elapsed_seconds,train_nll,train_ppl,validation_nll,validation_ppl,learning_rate,tokens_per_second
initial,11100,2486.542965359986,2486.542965359986,4.215176582336426,67.70612052036266,4.288452073931694,72.85360917241228,0.00036408005849316303,146277.30349607783
initial,11200,2507.3069788217545,2507.3069788217545,3.7592456340789795,42.91603936705711,4.218586400151253,67.9373801087495,0.00036178810817605713,146372.82275362354
initial,11300,2528.9597900807858,2528.9597900807858,4.135895490646362,62.54557497755556,4.231211170554161,68.8005108841994,0.0003594848975879007,146415.29748805208
initial,11400,2551.7343441024423,2551.7343441024423,4.290000915527344,72.96653530246047,4.265988826751709,71.23532455327724,0.0003571706879359619,146392.66852498153
initial,11500,2574.631451420486,2574.631451420486,3.6698906421661377,39.24761359160553,4.263706758618355,71.07294603903155,0.0003548457416749137,146363.47264075125
initial,11600,2596.805600643158,2596.805600643158,4.046971321105957,57.223881563602575,4.296089813113213,73.41217641783622,0.0003525103224770684,146375.5315014175
initial,11700,2618.7323017790914,2618.7323017790914,4.041742920875549,56.9254729875631,4.288386911153793,72.8488619835302,0.000350164695202475,146401.21853598356
initial,11800,2640.906621210277,2640.906621210277,3.754708766937256,42.72177600494476,4.221030414104462,68.10362308100137,0.00034780912586888094,146412.7496574642
initial,11900,2662.852755524218,2662.852755524218,3.967926263809204,52.87476874866674,4.253611043095589,70.35902363697203,0.0003454438816215635,146436.6361193093
initial,12000,2684.996414884925,2684.996414884925,3.68774151802063,39.954508444418174,4.250360861420631,70.13071525052757,0.00034306923070303214,146449.35755597748
initial,12100,2708.697560735047,2708.697560735047,3.9301252365112305,50.91335348071587,4.210955277085304,67.42091471218151,0.00034068544242260823,146377.6560910719
initial,12200,2730.9682335481048,2730.9682335481048,4.205186724662781,67.03311323324945,4.220845177769661,68.09100898380584,0.0003382927871258812,146383.83379531838
initial,12300,2752.977831199765,2752.977831199765,3.595391035079956,36.42994258853223,4.237349689006805,69.2241429963284,0.00033589153616405,146403.79425952362
initial,12400,2775.1595041900873,2775.1595041900873,3.3968764543533325,29.870651833995307,4.235559910535812,69.10035792249418,0.0003334819618631482,146414.3590256744
initial,12500,2796.8808233439922,2796.8808233439922,3.4407206773757935,31.209442004304012,4.237919747829437,69.26361607970334,0.00033106433749316,146448.85709154964
initial,12600,2818.5120595246553,2818.5120595246553,3.8040223121643066,44.88134870689483,4.182457372546196,65.52667899064954,0.00032863893723702835,146487.50520855747
initial,12700,2841.0875935703516,2841.0875935703516,3.846092104911804,46.80977763429597,4.223373904824257,68.26341044665175,0.00032620603615955994,146476.86362849028
initial,12800,2863.4273473620415,2863.4273473620415,4.17216682434082,64.85583115770332,4.174975872039795,65.03827040128547,0.00032376591017623034,146478.45016441715
initial,12900,2886.1815297827125,2886.1815297827125,3.6314741373062134,37.768451483720746,4.195355266332626,66.3773090120548,0.0003213188360218919,146458.97897899157
initial,13000,2908.280306376517,2908.280306376517,3.734401822090149,41.86297656414943,4.193245366215706,66.23740716137479,0.00031886509121938983,146472.81387079976
initial,13100,2931.961481809616,2931.961481809616,3.560728907585144,35.18883720970715,4.197355568408966,66.51021656440402,0.0003164049540480876,146407.3804049632
initial,13200,2953.7450616136193,2953.7450616136193,3.720486879348755,41.28448978162828,4.139457330107689,62.768749494597124,0.0003139387035123081,146437.01165045923
